id,title,url,date,publisher,archived_url,confidence,last_verified,url_status
136,,https://investinangola.ao/2024/07/18/aipex-signs-six-investment-project-contracts/,,,,medium,2026-08-04,alive
137,,https://www.businesswire.com/news/home/20250521277404/en/Maurel-Prom-Start-of-Construction-of-Quilemba-Solar-Photovoltaic-Power-Plant-in-Angola,,,,medium,2026-08-04,dead
138,,https://www.verangola.net/va/en/062026/Industry/49062/Fish-processing-plant-inaugurated-in-Benguela-It-will-process-200-tonsday-and-generate-200-jobs.htm,,,,medium,2026-08-04,alive
139,,https://africaoilgasreport.com/2026/03/refining-gap/its-almost-done-cabinda-refinery-to-start-commercial-production-in-april-2026/,,,,medium,2026-08-04,blocked
140,,https://angolapetroleum.com/downstream/cabinda-refinery-inauguration/,,,,medium,2026-08-04,alive
141,,https://www.worldbank.org/en/news/press-release/2022/03/30/world-bank-injects-300-million-to-support-climate-resilience-and-water-security-in-angola,,,,medium,2026-08-04,alive
142,,https://documents1.worldbank.org/curated/en/099122725095529077/pdf/P163610-9e90a2df-8e18-415b-aaed-7bedbd674c07.pdf,,,,medium,2026-08-04,dead
143,,https://www.worldbank.org/en/results/2024/03/01/enhancing-food-security-and-income-for-smallholder-farmers-in-afe-angola,,,,medium,2026-08-04,alive
144,,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099120012092126895,,,,medium,2026-08-04,alive
145,,https://angop.ao/en/noticias/agricultura/mosap-3-apoia-16-mil-pequenos-produtores-agricolas/,,,,medium,2026-08-04,alive
146,,https://www.afdb.org/en/news-and-events/press-releases/angola-african-development-bank-funds-530-million-electricity-project-expand-renewable-energy-and-regional-connectivity-42723,,,,medium,2026-08-04,alive
147,,https://afdb.africa-newsroom.com/press/angola-african-development-bank-approves-105million-loan-to-improve-the-productivity-of-smallholdings-and-reduce-food-imports,,,,medium,2026-08-04,alive
